date,open,high,low,close,volume
16.04.2018 14:00:00.000 GMT+0100,1.43118,1.43336,1.43081,1.43322,7563.8398
16.04.2018 15:00:00.000 GMT+0100,1.43322,1.43378,1.43116,1.43282,7491.4902
16.04.2018 16:00:00.000 GMT+0100,1.43280,1.43333,1.43173,1.43327,6002.9102
16.04.2018 17:00:00.000 GMT+0100,1.43322,1.43345,1.43223,1.43246,4228.0601
16.04.2018 18:00:00.000 GMT+0100,1.43246,1.43271,1.43197,1.43200,2332.5701
16.04.2018 19:00:00.000 GMT+0100,1.43201,1.43316,1.43188,1.43316,2296.1001
16.04.2018 20:00:00.000 GMT+0100,1.43316,1.43365,1.43267,1.43360,2381.4199
16.04.2018 21:00:00.000 GMT+0100,1.43361,1.43438,1.43330,1.43369,3869.3101
16.04.2018 22:00:00.000 GMT+0100,1.43366,1.43398,1.43338,1.43360,1492.4301
16.04.2018 23:00:00.000 GMT+0100,1.43358,1.43432,1.43356,1.43372,1485.28
17.04.2018 00:00:00.000 GMT+0100,1.43373,1.43438,1.43336,1.43400,2005.4301
17.04.2018 01:00:00.000 GMT+0100,1.43400,1.43539,1.43398,1.43428,2486.6799
17.04.2018 02:00:00.000 GMT+0100,1.43431,1.43467,1.43376,1.43380,2002
17.04.2018 03:00:00.000 GMT+0100,1.43381,1.43392,1.43344,1.43389,1696.0601
