date,open,high,low,close,volume
29.09.2018 22:00:00.000 GMT+0100,1.30278,1.30278,1.30278,1.30278,0
30.09.2018 22:00:00.000 GMT+0100,1.30371,1.31153,1.30119,1.30419,135165099.60950002
01.10.2018 22:00:00.000 GMT+0100,1.30418,1.30482,1.29409,1.29777,153540510.0097
02.10.2018 22:00:00.000 GMT+0100,1.29778,1.30226,1.29237,1.29362,178153740.4786
03.10.2018 22:00:00.000 GMT+0100,1.29356,1.30411,1.29220,1.30208,171723300.5371
04.10.2018 22:00:00.000 GMT+0100,1.30199,1.31226,1.30032,1.31136,158107709.96099997
05.10.2018 22:00:00.000 GMT+0100,1.31136,1.31136,1.31136,1.31136,0
06.10.2018 22:00:00.000 GMT+0100,1.31136,1.31136,1.31136,1.31136,0
07.10.2018 22:00:00.000 GMT+0100,1.31230,1.31326,1.30279,1.30859,145586969.84899998
08.10.2018 22:00:00.000 GMT+0100,1.30857,1.31500,1.30328,1.31425,173731190.4298
09.10.2018 22:00:00.000 GMT+0100,1.31412,1.32158,1.31332,1.31880,160079580.3222
10.10.2018 22:00:00.000 GMT+0100,1.31880,1.32468,1.31741,1.32311,220068070.55650002
11.10.2018 22:00:00.000 GMT+0100,1.32311,1.32575,1.31458,1.31516,185599610.1076
12.10.2018 22:00:00.000 GMT+0100,1.31516,1.31516,1.31516,1.31516,0
13.10.2018 22:00:00.000 GMT+0100,1.31516,1.31516,1.31516,1.31516,0
14.10.2018 22:00:00.000 GMT+0100,1.30854,1.31815,1.30811,1.31514,164563669.9218
15.10.2018 22:00:00.000 GMT+0100,1.31514,1.32362,1.31350,1.31767,152429239.0137
16.10.2018 22:00:00.000 GMT+0100,1.31768,1.31923,1.30993,1.31128,147895708.9846
17.10.2018 22:00:00.000 GMT+0100,1.31115,1.31311,1.30158,1.30168,151616529.29700002
18.10.2018 22:00:00.000 GMT+0100,1.30168,1.31037,1.30109,1.30666,144538001.70920002
19.10.2018 22:00:00.000 GMT+0100,1.30666,1.30666,1.30666,1.30666,0
20.10.2018 22:00:00.000 GMT+0100,1.30666,1.30666,1.30666,1.30666,0
21.10.2018 22:00:00.000 GMT+0100,1.30703,1.30899,1.29562,1.29564,143043479.4924
22.10.2018 22:00:00.000 GMT+0100,1.29563,1.30439,1.29368,1.29819,166182349.97540003
23.10.2018 22:00:00.000 GMT+0100,1.29819,1.29904,1.28668,1.28792,169822569.33630002
24.10.2018 22:00:00.000 GMT+0100,1.28798,1.29192,1.27968,1.28162,166384349.3655
25.10.2018 22:00:00.000 GMT+0100,1.28162,1.28411,1.27772,1.28260,192441500.73239997
26.10.2018 22:00:00.000 GMT+0100,1.28260,1.28260,1.28260,1.28260,0
27.10.2018 22:00:00.000 GMT+0100,1.28260,1.28260,1.28260,1.28260,0
28.10.2018 21:00:00.000 GMT-0000,1.28212,1.28528,1.27918,1.27919,140135191.2232
29.10.2018 21:00:00.000 GMT-0000,1.27916,1.28123,1.26956,1.27066,143717579.83410004
30.10.2018 21:00:00.000 GMT-0000,1.27066,1.28303,1.26905,1.27644,145521808.0442
31.10.2018 21:00:00.000 GMT-0000,1.27648,1.30349,1.27629,1.30009,171144128.5402
01.11.2018 21:00:00.000 GMT-0000,1.30003,1.30406,1.29513,1.29617,157950229.37010002
02.11.2018 21:00:00.000 GMT-0000,1.29617,1.29617,1.29617,1.29617,0
03.11.2018 21:00:00.000 GMT-0000,1.29617,1.29617,1.29617,1.29617,0
04.11.2018 22:00:00.000 GMT-0000,1.30210,1.30553,1.29641,1.30398,135208620.11730003
05.11.2018 22:00:00.000 GMT-0000,1.30395,1.31070,1.30208,1.30950,142004849.60959998
06.11.2018 22:00:00.000 GMT-0000,1.30951,1.31744,1.30731,1.31219,189711839.8437
07.11.2018 22:00:00.000 GMT-0000,1.31230,1.31496,1.30447,1.30607,161200760.74229997
08.11.2018 22:00:00.000 GMT-0000,1.30607,1.30701,1.29580,1.29729,153090939.45319998
09.11.2018 22:00:00.000 GMT-0000,1.29729,1.29729,1.29729,1.29729,0
10.11.2018 22:00:00.000 GMT-0000,1.29729,1.29729,1.29729,1.29729,0
11.11.2018 22:00:00.000 GMT-0000,1.29130,1.29465,1.28271,1.28476,172565239.0138
12.11.2018 22:00:00.000 GMT-0000,1.28463,1.30469,1.28350,1.29675,196240649.65850005
13.11.2018 22:00:00.000 GMT-0000,1.29729,1.30718,1.28798,1.29861,219461011.23090002
14.11.2018 22:00:00.000 GMT-0000,1.29853,1.30298,1.27232,1.27688,239721201.6602
15.11.2018 22:00:00.000 GMT-0000,1.27691,1.28773,1.27594,1.28261,190546771.4846
16.11.2018 22:00:00.000 GMT-0000,1.28261,1.28261,1.28261,1.28261,0
17.11.2018 22:00:00.000 GMT-0000,1.28261,1.28261,1.28261,1.28261,0
18.11.2018 22:00:00.000 GMT-0000,1.28443,1.28835,1.27939,1.28496,156255311.8896
19.11.2018 22:00:00.000 GMT-0000,1.28554,1.28826,1.27760,1.27862,167058859.86299998
20.11.2018 22:00:00.000 GMT-0000,1.27860,1.28193,1.27638,1.27743,145710850.4639
21.11.2018 22:00:00.000 GMT-0000,1.27744,1.29270,1.27674,1.28752,127204429.4433
22.11.2018 22:00:00.000 GMT-0000,1.28750,1.28821,1.27981,1.28006,133354289.79499999
23.11.2018 22:00:00.000 GMT-0000,1.28006,1.28006,1.28006,1.28006,0
24.11.2018 22:00:00.000 GMT-0000,1.28006,1.28006,1.28006,1.28006,0
25.11.2018 22:00:00.000 GMT-0000,1.28215,1.28637,1.27955,1.28068,138956270.0199
26.11.2018 22:00:00.000 GMT-0000,1.28045,1.28194,1.27249,1.27420,190879290.28330004
27.11.2018 22:00:00.000 GMT-0000,1.27409,1.28467,1.27306,1.28232,171515678.345
28.11.2018 22:00:00.000 GMT-0000,1.28231,1.28494,1.27551,1.27850,167466140.74750003
29.11.2018 22:00:00.000 GMT-0000,1.27850,1.28092,1.27350,1.27509,165267859.8635
30.11.2018 22:00:00.000 GMT-0000,1.27509,1.27509,1.27509,1.27509,0
01.12.2018 22:00:00.000 GMT-0000,1.27509,1.27509,1.27509,1.27509,0
02.12.2018 22:00:00.000 GMT-0000,1.27644,1.28242,1.26985,1.27232,151696590.82020003
03.12.2018 22:00:00.000 GMT-0000,1.27233,1.28394,1.26582,1.27149,181394709.71690002
04.12.2018 22:00:00.000 GMT-0000,1.27160,1.27980,1.26717,1.27319,154736070.0685
05.12.2018 22:00:00.000 GMT-0000,1.27318,1.28118,1.26992,1.27817,191000459.22849998
06.12.2018 22:00:00.000 GMT-0000,1.27816,1.27900,1.27100,1.27296,153056650.6349
07.12.2018 22:00:00.000 GMT-0000,1.27296,1.27296,1.27296,1.27296,0
08.12.2018 22:00:00.000 GMT-0000,1.27296,1.27296,1.27296,1.27296,0
09.12.2018 22:00:00.000 GMT-0000,1.27048,1.27598,1.25065,1.25595,185974919.4337
10.12.2018 22:00:00.000 GMT-0000,1.25568,1.26382,1.24796,1.24837,180515199.4632
11.12.2018 22:00:00.000 GMT-0000,1.24823,1.26712,1.24766,1.26288,200335711.18170002
12.12.2018 22:00:00.000 GMT-0000,1.26288,1.26861,1.26072,1.26509,149443619.8731
13.12.2018 22:00:00.000 GMT-0000,1.26504,1.26648,1.25290,1.25813,163445409.42400002
14.12.2018 22:00:00.000 GMT-0000,1.25813,1.25813,1.25813,1.25813,0
15.12.2018 22:00:00.000 GMT-0000,1.25813,1.25813,1.25813,1.25813,0
