Date,Open,High,Low,Close,Adj Close,Volume
2018-08-14,140.300003,140.990005,139.880005,140.759995,140.548737,5888700
2018-08-15,140.350006,140.690002,138.839996,139.919998,139.710007,5288400
2018-08-16,141.070007,141.490005,140.419998,140.649994,140.649994,5931700
2018-08-17,140.779999,141.710007,140.570007,141.330002,141.330002,7699600
2018-08-20,141.539993,141.600006,140.699997,140.940002,140.940002,4662200
2018-08-21,141.000000,141.460007,139.800003,140.039993,140.039993,6854300
2018-08-22,139.850006,141.529999,139.850006,141.139999,141.139999,4191700
2018-08-23,141.009995,142.449997,140.770004,142.100006,142.100006,4426800
2018-08-24,142.320007,144.380005,142.320007,144.199997,144.199997,5714000
2018-08-27,144.990005,145.600006,144.710007,145.399994,145.399994,7194900
2018-08-28,145.630005,146.169998,144.869995,145.199997,145.199997,4925700
2018-08-29,145.460007,147.300003,145.419998,147.029999,147.029999,5192900
2018-08-30,146.820007,147.710007,146.360001,146.740005,146.740005,7804600
2018-08-31,146.740005,147.639999,146.500000,146.889999,146.889999,5786600
2018-09-04,146.929993,147.860001,146.669998,147.800003,147.800003,7638100
2018-09-05,147.000000,147.820007,142.550003,142.669998,142.669998,11363400
2018-09-06,143.289993,144.699997,142.539993,144.500000,144.500000,9589200
2018-09-07,143.990005,144.440002,142.750000,143.199997,143.199997,13626200
2018-09-10,144.130005,144.440002,143.210007,144.080002,144.080002,5362700
2018-09-11,143.460007,145.520004,143.250000,145.490005,145.490005,9895900
2018-09-12,145.850006,146.800003,145.070007,146.570007,146.570007,6964100
2018-09-13,147.149994,148.070007,147.089996,147.630005,147.630005,5803400
2018-09-14,147.910004,148.369995,147.350006,147.839996,147.839996,4928300
2018-09-17,147.830002,147.899994,145.830002,146.179993,146.179993,7708600
2018-09-18,146.199997,148.089996,145.949997,147.630005,147.630005,5692100
2018-09-19,148.279999,148.820007,147.250000,147.419998,147.419998,7432300
2018-09-20,147.990005,149.490005,147.199997,149.240005,149.240005,7171500
2018-09-24,149.160004,149.639999,147.270004,149.300003,149.300003,2098306
