Gmt time,Open,High,Low,Close,Volume
09.05.2018 19:00:00.000,4.29520,4.29553,4.27389,4.28166,2265.1101
09.05.2018 20:00:00.000,4.28176,4.29059,4.28047,4.29051,2417.77
09.05.2018 21:00:00.000,4.28991,4.29236,4.28886,4.29036,817.72
09.05.2018 22:00:00.000,4.29036,4.29306,4.28949,4.29150,551.67
09.05.2018 23:00:00.000,4.29241,4.29244,4.28573,4.29087,909
10.05.2018 00:00:00.000,4.29067,4.29173,4.28952,4.29105,774.62
10.05.2018 01:00:00.000,4.29105,4.29131,4.27993,4.27993,2160.9199
10.05.2018 02:00:00.000,4.28008,4.29375,4.28008,4.29375,2546.01
10.05.2018 03:00:00.000,4.29371,4.29603,4.29082,4.29398,3344.3
10.05.2018 04:00:00.000,4.29397,4.29442,4.29109,4.29199,4878.6401
10.05.2018 05:00:00.000,4.29202,4.30635,4.29200,4.30567,3634.78
10.05.2018 06:00:00.000,4.30567,4.30976,4.26482,4.26929,8448.9805
10.05.2018 07:00:00.000,4.26883,4.28458,4.26570,4.28389,8223.1299
10.05.2018 08:00:00.000,4.28389,4.29045,4.27236,4.27543,8951.5098
10.05.2018 09:00:00.000,4.27552,4.27943,4.26806,4.27827,8430.9199
10.05.2018 10:00:00.000,4.27829,4.28353,4.26870,4.27638,7294.8398
10.05.2018 11:00:00.000,4.27638,4.27921,4.23635,4.25108,10607.3604
10.05.2018 12:00:00.000,4.25108,4.25244,4.22863,4.23086,9064.7402
10.05.2018 13:00:00.000,4.23108,4.24435,4.22749,4.24399,7556.7202
10.05.2018 14:00:00.000,4.24399,4.25491,4.24292,4.25342,7481.3501
10.05.2018 15:00:00.000,4.25338,4.25442,4.24438,4.24971,4591.5498
10.05.2018 16:00:00.000,4.24971,4.25323,4.22751,4.23876,5240.2798
10.05.2018 17:00:00.000,4.23876,4.24450,4.23729,4.23893,3302.1101
10.05.2018 18:00:00.000,4.23883,4.24465,4.22159,4.22650,3029.0601
10.05.2018 19:00:00.000,4.22660,4.23397,4.22308,4.23250,3149.3701
10.05.2018 20:00:00.000,4.23212,4.23885,4.22812,4.23734,2873.6899
10.05.2018 21:00:00.000,4.23749,4.24315,4.23505,4.24278,1301.5
10.05.2018 22:00:00.000,4.24196,4.24248,4.23904,4.23918,304.37
10.05.2018 23:00:00.000,4.23928,4.23965,4.23842,4.23956,1971.9399
11.05.2018 00:00:00.000,4.23956,4.24495,4.23926,4.24214,903.74
11.05.2018 01:00:00.000,4.24216,4.24266,4.23344,4.24204,2450.1799
11.05.2018 02:00:00.000,4.24201,4.24265,4.23742,4.24069,2343.6201
11.05.2018 03:00:00.000,4.24069,4.24147,4.23893,4.24059,4287.25
11.05.2018 04:00:00.000,4.24059,4.24534,4.24037,4.24450,2249.1299
11.05.2018 05:00:00.000,4.24450,4.24978,4.23630,4.24045,2066.3101
11.05.2018 06:00:00.000,4.24045,4.26492,4.23722,4.26473,7067.98
11.05.2018 07:00:00.000,4.26470,4.26840,4.25515,4.25993,8211.5703
11.05.2018 08:00:00.000,4.25992,4.25995,4.25015,4.25602,7782.9399
11.05.2018 09:00:00.000,4.25602,4.26424,4.25427,4.26355,5425.46
11.05.2018 10:00:00.000,4.26355,4.27705,4.25860,4.27008,5325.6499
11.05.2018 11:00:00.000,4.27008,4.28423,4.26427,4.27537,5133.3999
11.05.2018 12:00:00.000,4.27540,4.30820,4.27237,4.29447,10524.5596
11.05.2018 13:00:00.000,4.29447,4.30566,4.28683,4.30060,9272.6904
11.05.2018 14:00:00.000,4.30059,4.31354,4.29368,4.30538,9237.71
11.05.2018 15:00:00.000,4.30532,4.30835,4.29443,4.29821,7777.48
11.05.2018 16:00:00.000,4.29820,4.30877,4.29339,4.30628,5555.8301
11.05.2018 17:00:00.000,4.30614,4.31547,4.30051,4.31160,3180.9299
11.05.2018 18:00:00.000,4.31160,4.31953,4.30553,4.31844,3392.54
11.05.2018 19:00:00.000,4.31848,4.31952,4.31541,4.31742,1893.38
11.05.2018 20:00:00.000,4.31737,4.31835,4.31270,4.31713,4589.21
11.05.2018 21:00:00.000,4.31713,4.31713,4.31713,4.31713,0
11.05.2018 22:00:00.000,4.31713,4.31713,4.31713,4.31713,0
11.05.2018 23:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 00:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 01:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 02:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 03:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 04:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 05:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 06:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 07:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 08:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 09:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 10:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 11:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 12:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 13:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 14:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 15:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 16:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 17:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 18:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 19:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 20:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 21:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 22:00:00.000,4.31713,4.31713,4.31713,4.31713,0
12.05.2018 23:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 00:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 01:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 02:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 03:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 04:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 05:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 06:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 07:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 08:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 09:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 10:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 11:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 12:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 13:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 14:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 15:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 16:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 17:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 18:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 19:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 20:00:00.000,4.31713,4.31713,4.31713,4.31713,0
13.05.2018 21:00:00.000,4.31877,4.32684,4.31873,4.32614,235.46
13.05.2018 22:00:00.000,4.32139,4.32495,4.31945,4.32280,440.62
13.05.2018 23:00:00.000,4.32280,4.32295,4.31577,4.31621,1681.1
14.05.2018 00:00:00.000,4.31621,4.31853,4.30828,4.31086,2142.25
14.05.2018 01:00:00.000,4.31085,4.31683,4.30795,4.31193,7672.4302
14.05.2018 02:00:00.000,4.31200,4.34082,4.31008,4.33923,5561.2798
14.05.2018 03:00:00.000,4.33930,4.33933,4.33622,4.33623,553.73
14.05.2018 04:00:00.000,4.33623,4.35269,4.33587,4.35054,3647.3501
14.05.2018 05:00:00.000,4.35054,4.35062,4.32627,4.33014,2835.5701
14.05.2018 06:00:00.000,4.33014,4.33846,4.32189,4.33461,7045.0298
14.05.2018 07:00:00.000,4.33463,4.33963,4.31484,4.32529,10790.2305
14.05.2018 08:00:00.000,4.32505,4.33087,4.31880,4.32431,9225.1299
14.05.2018 09:00:00.000,4.32377,4.32429,4.31225,4.32284,6725.71
14.05.2018 10:00:00.000,4.32284,4.32389,4.31840,4.32147,5009.52
14.05.2018 11:00:00.000,4.32148,4.32403,4.31644,4.32145,6139.1401
14.05.2018 12:00:00.000,4.32140,4.32140,4.31267,4.31720,5649.3901
14.05.2018 13:00:00.000,4.31724,4.31781,4.30337,4.31667,9439.6504
14.05.2018 14:00:00.000,4.31667,4.32778,4.31357,4.32190,7894.6001
14.05.2018 15:00:00.000,4.32182,4.32528,4.31925,4.31927,6016.6499
14.05.2018 16:00:00.000,4.31919,4.34511,4.31878,4.34294,3707.3999
14.05.2018 17:00:00.000,4.34298,4.35465,4.33890,4.35220,4153.98
14.05.2018 18:00:00.000,4.35221,4.35374,4.34957,4.35204,2590.4299
14.05.2018 19:00:00.000,4.35184,4.37091,4.35164,4.37058,3996.26
14.05.2018 20:00:00.000,4.37053,4.37204,4.36360,4.36825,1792.03
14.05.2018 21:00:00.000,4.36825,4.36878,4.36376,4.36728,381.87
14.05.2018 22:00:00.000,4.36728,4.36743,4.35878,4.35883,715.25
14.05.2018 23:00:00.000,4.35888,4.36227,4.35103,4.35664,724.52
15.05.2018 00:00:00.000,4.35643,4.36256,4.35507,4.36158,1011.9
15.05.2018 01:00:00.000,4.36141,4.36303,4.35613,4.35613,1096.48
15.05.2018 02:00:00.000,4.35614,4.35705,4.35462,4.35560,1127.79
15.05.2018 03:00:00.000,4.35561,4.35691,4.35510,4.35593,510.53
15.05.2018 04:00:00.000,4.35586,4.39872,4.35284,4.38552,5922.3301
15.05.2018 05:00:00.000,4.38552,4.39039,4.36448,4.38969,5514.25
15.05.2018 06:00:00.000,4.38968,4.39461,4.37022,4.37191,8949.7998
15.05.2018 07:00:00.000,4.37188,4.39530,4.36906,4.39525,7531.27
15.05.2018 08:00:00.000,4.39542,4.39635,4.38578,4.39041,7399.8398
15.05.2018 09:00:00.000,4.39041,4.39216,4.37591,4.38548,6320.2798
15.05.2018 10:00:00.000,4.38548,4.42369,4.38414,4.42366,8182.6099
15.05.2018 11:00:00.000,4.42358,4.46585,4.41742,4.43618,12775.9297
15.05.2018 12:00:00.000,4.43618,4.44413,4.41753,4.44195,10972.5195
15.05.2018 13:00:00.000,4.44201,4.46291,4.44129,4.45889,10937.1299
15.05.2018 14:00:00.000,4.45889,4.45889,4.43613,4.45790,9933.6904
15.05.2018 15:00:00.000,4.45793,4.47637,4.44282,4.44373,9081.4199
15.05.2018 16:00:00.000,4.44369,4.46146,4.43395,4.43919,6627.3701
15.05.2018 17:00:00.000,4.43927,4.45115,4.43452,4.44924,4445.1899
15.05.2018 18:00:00.000,4.44926,4.47178,4.44922,4.46407,8484.4199
15.05.2018 19:00:00.000,4.46407,4.46643,4.44202,4.45223,2860.97
